iter	RMSE	AverageGain:top=10
829	0.1298304827	0.4651418675
830	0.1297947726	0.464856846
831	0.1297310233	0.464856846
832	0.1296822865	0.4656302758
833	0.1296499954	0.4656302758
834	0.1296094985	0.4656302758
835	0.1295801211	0.4656302758
836	0.129543419	0.4656302758
837	0.1295153841	0.4657614215
838	0.1294872817	0.4649879917
839	0.129439608	0.4655131566
840	0.1293909973	0.4662865864
841	0.1293277889	0.4652413165
842	0.1293262527	0.4652413165
843	0.1292886961	0.4653388436
844	0.1292460861	0.4653388436
845	0.1292060545	0.4650867998
846	0.1292054053	0.4650867998
847	0.1291663003	0.4650867998
848	0.1291099824	0.4652611128
849	0.1290536259	0.465741272
850	0.1290332594	0.465741272
851	0.1289922592	0.465741272
852	0.1289597342	0.465741272
853	0.1289585257	0.465741272
854	0.1288989898	0.465741272
855	0.1288684722	0.465741272
856	0.1288566448	0.4665147017
857	0.1288223548	0.4667418226
858	0.1287853169	0.4665147017
859	0.1287349127	0.4667418226
860	0.1287343443	0.4667418226
861	0.1287022548	0.4667418226
862	0.1286696683	0.4667418226
863	0.1286684342	0.4667418226
864	0.1286437977	0.4674757671
865	0.1286094017	0.4674757671
866	0.1285682167	0.4674757671
867	0.1285444877	0.4674757671
868	0.1285163367	0.4674757671
869	0.1284691129	0.4669956079
870	0.128468464	0.4669956079
871	0.1284120858	0.4669956079
872	0.1283845607	0.4679875236
873	0.1283263825	0.4679875236
874	0.1282983733	0.4680124466
875	0.1282974145	0.4680124466
876	0.128280131	0.4680124466
877	0.128243141	0.4680124466
878	0.1281916454	0.4684676828
879	0.128150204	0.4684676828
