iter	AverageGain:top=10
1321	0.4755747126
1322	0.4755747126
1323	0.475862069
1324	0.4764367816
1325	0.4764367816
1326	0.4764367816
1327	0.4767241379
1328	0.4764367816
1329	0.4764367816
1330	0.4761494253
1331	0.4761494253
1332	0.4761494253
1333	0.4764367816
1334	0.4767241379
1335	0.4764367816
1336	0.4761494253
1337	0.4761494253
1338	0.4761494253
1339	0.4764367816
1340	0.4764367816
1341	0.4764367816
1342	0.4764367816
1343	0.4767241379
1344	0.4764367816
1345	0.4761494253
1346	0.4761494253
1347	0.4764367816
1348	0.4770114943
1349	0.4764367816
1350	0.4767241379
1351	0.4767241379
1352	0.4767241379
1353	0.4770114943
1354	0.4770114943
1355	0.4770114943
1356	0.4772988506
1357	0.4770114943
1358	0.4772988506
1359	0.4770114943
1360	0.4767241379
1361	0.4770114943
1362	0.4772988506
1363	0.4772988506
1364	0.4772988506
1365	0.4772988506
1366	0.4772988506
1367	0.4772988506
1368	0.4770114943
1369	0.4772988506
1370	0.4775862069
1371	0.4770114943
1372	0.4770114943
1373	0.4772988506
1374	0.4775862069
1375	0.4775862069
1376	0.4775862069
1377	0.4775862069
1378	0.4778735632
1379	0.4781609195
1380	0.4781609195
1381	0.4781609195
1382	0.4781609195
1383	0.4778735632
1384	0.4775862069
1385	0.4775862069
1386	0.4775862069
1387	0.4781609195
1388	0.4781609195
1389	0.4784482759
1390	0.4784482759
1391	0.4784482759
1392	0.4781609195
1393	0.4781609195
1394	0.4784482759
1395	0.4793103448
1396	0.4795977011
1397	0.4795977011
1398	0.4790229885
1399	0.4790229885
1400	0.4790229885
1401	0.4790229885
1402	0.4790229885
1403	0.4793103448
1404	0.4793103448
1405	0.4793103448
1406	0.4793103448
1407	0.4793103448
1408	0.4790229885
1409	0.4790229885
1410	0.4793103448
1411	0.4795977011
1412	0.4795977011
1413	0.4795977011
1414	0.4798850575
1415	0.4798850575
1416	0.4798850575
1417	0.4798850575
1418	0.4795977011
1419	0.4795977011
1420	0.4798850575
1421	0.4804597701
1422	0.4804597701
1423	0.4801724138
1424	0.4801724138
1425	0.4801724138
1426	0.4804597701
1427	0.4804597701
1428	0.4804597701
1429	0.4807471264
1430	0.4801724138
1431	0.4804597701
1432	0.4804597701
1433	0.4804597701
1434	0.4804597701
1435	0.4804597701
1436	0.4804597701
1437	0.4804597701
1438	0.4798850575
1439	0.4798850575
1440	0.4804597701
1441	0.4807471264
1442	0.4804597701
1443	0.4804597701
1444	0.4804597701
1445	0.4804597701
1446	0.4807471264
1447	0.4807471264
1448	0.4807471264
1449	0.4804597701
1450	0.4804597701
1451	0.4807471264
1452	0.4807471264
1453	0.4807471264
1454	0.4807471264
1455	0.4807471264
1456	0.4807471264
1457	0.4804597701
1458	0.4804597701
1459	0.4807471264
1460	0.4804597701
1461	0.4804597701
1462	0.4804597701
1463	0.4813218391
1464	0.4807471264
1465	0.4810344828
1466	0.4810344828
1467	0.4810344828
1468	0.4807471264
1469	0.4807471264
1470	0.4807471264
1471	0.4807471264
1472	0.4807471264
1473	0.4807471264
1474	0.4807471264
1475	0.4807471264
1476	0.4807471264
1477	0.4807471264
1478	0.4801724138
1479	0.4804597701
1480	0.4810344828
1481	0.4813218391
1482	0.4813218391
1483	0.4813218391
1484	0.4816091954
1485	0.4813218391
1486	0.4816091954
1487	0.4816091954
1488	0.4816091954
1489	0.4813218391
1490	0.4816091954
1491	0.4816091954
1492	0.4816091954
1493	0.4818965517
1494	0.482183908
1495	0.482183908
1496	0.482183908
1497	0.4818965517
1498	0.482183908
1499	0.482183908
1500	0.482183908
1501	0.4818965517
1502	0.4818965517
1503	0.4818965517
1504	0.4818965517
1505	0.4818965517
1506	0.4818965517
1507	0.4818965517
1508	0.4818965517
